#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-08-28T01:00:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T01:00:58	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J%2FA%2BA%2F707%2FA345%2Ftableb1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37070345
#Name: J/A+A/707/A345
#Title: Gaia GraL. X. (Ducourant+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/707/a345	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/707/a345	    IVOID of underlying data collection
#INFO	creator=Ducourant C.	    First author or institution
#INFO	cites=bibcode:2026A&A...707A.345D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/707/A345	    Dataset landing page
#INFO	publication_date=2026-04-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_707_A345_tableb1:
#Name: J/A+A/707/A345/tableb1
#Title: Compiled list of known gravitationally lensed systems with their time delays in days
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a24)	Name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A13)	Right ascension (J2000) of center of the lens system according to table A1	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000) of center of the lens system according to table A1	[ucd=pos.eq.dec;meta.main]
#Column	tAB	(D12.5)	? Time delay between A and B images	[ucd=time;arith.diff]
#Column	e_tAB	(F6.3)	? Time delay between A and B images error	[ucd=stat.error]
#Column	tAC	(D12.5)	? Time delay between A and C images	[ucd=time;arith.diff]
#Column	e_tAC	(F5.2)	? Time delay between A and C images error	[ucd=stat.error]
#Column	tAD	(D12.5)	? Time delay between A and D images	[ucd=time;arith.diff]
#Column	e_tAD	(F5.2)	? Time delay between A and D images error	[ucd=stat.error]
#Column	tBC	(F5.1)	? Time delay between B and C images	[ucd=time;arith.diff]
#Column	e_tBC	(F5.2)	? Time delay between B and C images error	[ucd=stat.error]
#Column	tBD	(D12.5)	? Time delay between B and D images	[ucd=time;arith.diff]
#Column	e_tBD	(F5.2)	? Time delay between B and D images error	[ucd=stat.error]
#Column	tCD	(D12.5)	? Time delay between C and D images	[ucd=time;arith.diff]
#Column	e_tCD	(F5.2)	? Time delay between C and D images error	[ucd=stat.error]
#Column	Ref	(a17)	Reference code	[ucd=meta.note]
#Column	BibCode	(A19)	BibCode	[ucd=meta.bib.bibcode]
recno	Name	RAJ2000	DEJ2000	tAB	e_tAB	tAC	e_tAC	tAD	e_tAD	tBC	e_tBC	tBD	e_tBD	tCD	e_tCD	Ref	BibCode
      48	SDSSJ1442+4055          	14 42 54.6907	+40 55 35.250	 2.50000e+01	 1.500	            	     	            	     	     	     	            	     	            	     	2019Shalyapin    	2019ApJ...873..117S
      49	SDSSJ1455+1447          	14 55 01.8744	+14 47 35.096	 4.53600e+01	 1.930	            	     	            	     	     	     	            	     	            	     	2023Meyer        	2023ApJ...950...37M
      50	SDSSJ1515+1511          	15 15 38.5301	+15 11 35.386	-2.10500e+02	 5.700	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      51	SBS1520+530             	15 21 44.8941	+52 54 48.243	-1.25800e+02	 2.100	            	     	            	     	     	     	            	     	            	     	2011Eulaer       	2011A&A...536A..44E
      52	GraLJ1537-3010          	15 37 25.3437	-30 10 16.717	-2.92000e+01	 0.900	 8.50000e+00	 0.70	-2.47000e+01	 1.50	 37.7	 0.80	 4.30000e+00	 1.40	-3.33000e+01	 1.40	2025Dux          	2025arXiv250402932D
      53	B1600+434               	16 01 40.4750	+43 16 47.400	 4.36000e+01	 1.200	            	     	            	     	     	     	            	     	            	     	2021Biggs        	2021MNRAS.505.2610B
      54	J1606-2333              	16 06 00.2304	-23 33 21.789	-1.10000e+01	 1.000	-2.89000e+01	 1.40	-3.45000e+01	 2.00	-17.9	 1.40	-2.35000e+01	 1.90	-5.50000e+00	 1.80	2025Dux          	2025arXiv250402932D
      55	B1608+656               	16 09 13.9778	+65 32 28.052	-3.15000e+01	      	 2.50000e+00	     	 4.55000e+01	     	 36.0	     	 7.70000e+01	     	 4.40000e+01	     	2002Fassnecht    	2002ApJ...581..823F
      56	SDSSJ162026.14+120342.0 	16 20 26.2110	+12 03 41.117	-1.71500e+02	 8.700	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      57	SDSSJ1640+1932          	16 40 45.6503	+19 32 56.547	-2.52300e+01	      	-2.35400e+01	     	-2.34300e+01	     	     	     	            	     	            	     	2017Wang         	2017MNRAS.468.3757W
      58	SDSS1650+4251           	16 50 43.4556	+42 51 48.795	-5.51000e+01	 4.000	            	     	            	     	     	     	            	     	            	     	2024Rivera       	2024ApJ...964..173R
      59	GraLJ165105.3-041725    	16 51 05.3712	-04 17 24.937	 5.79000e+02	40.000	 3.66000e+02	26.00	 6.98000e+02	29.00	     	     	            	     	            	     	2026Nunez-Pizarro	2026A&A...706L..12N
      60	PKS1830-211             	18 33 39.9068	-21 03 40.262	 2.50000e+01	 3.000	            	     	            	     	     	     	            	     	            	     	2023Muller       	2023A&A...674A.101M
      61	WGD2021-4115            	20 21 39.3692	-41 15 57.524	-9.08000e+01	 9.700	            	     	            	     	     	     	            	     	            	     	2025Dux          	2025arXiv250402932D
      62	WFI2026-4536            	20 26 10.4385	-45 36 26.808	 1.63000e+01	 3.200	-1.42000e+01	 7.50	            	     	-30.6	10.00	            	     	            	     	2025Dux          	2025arXiv250402932D
      63	WFI2033-4723            	20 33 42.1577	-47 23 44.022	 3.62000e+01	 0.800	-2.33000e+01	 1.40	            	     	-59.4	 1.30	            	     	            	     	2019Bonvin       	2019A&A...629A..97B
      64	GraLJ203802-400815      	20 38 02.7032	-40 08 13.720	-1.24000e+01	 3.800	-5.30000e+00	 3.80	-3.33000e+01	 6.30	  7.1	 4.00	-2.08000e+01	 6.40	-2.81000e+01	 6.40	2025Dux          	2025arXiv250402932D
      65	WG2100-4452             	21 00 14.8870	-44 52 06.566	            	      	 4.60000e+00	 1.00	-7.30000e+00	 1.20	     	     	            	     	-1.23000e+01	 1.50	2025Dux          	2025arXiv250402932D
      66	J2124+1632              	21 24 16.8662	+16 32 16.786	 1.02000e+02	20.000	            	     	            	     	     	     	            	     	            	     	2024Bekov        	2024AstBu..79...15B
      67	Q2138-431               	21 41 16.2687	-42 57 10.252	 4.10000e+02	      	            	     	            	     	     	     	            	     	            	     	2021Hawkins      	2021MNRAS.503.3848H
      68	HE2149-2745             	21 52 07.4757	-27 31 49.349	-3.24000e+01	18.300	            	     	            	     	     	     	            	     	            	     	2020Millon       	2020A&A...640A.105M
      69	J2205-3727              	22 05 44.2726	-37 27 01.402	-1.80000e+00	 2.500	 2.00000e-01	 4.30	 1.23000e+01	 1.80	  1.7	 4.70	 1.40000e+01	 2.70	 1.19000e+01	 4.40	2025Dux          	2025arXiv250402932D
      70	HS2209+1914             	22 11 30.3269	+19 29 13.098	-2.19600e+01	 1.448	            	     	            	     	     	     	            	     	            	     	2023Meyer        	2023ApJ...950...37M
      71	SDSSJ2222+2745          	22 22 08.6138	+27 45 35.422	 4.77000e+01	 6.000	-7.22000e+02	24.00	            	     	     	     	            	     	            	     	2015Dahle        	2015ApJ...813...67D
      72	J2305+3714              	23 05 55.7943	+37 14 20.718	 5.22000e+01	 2.500	            	     	            	     	     	     	            	     	            	     	2026Burkhonov    	2026MNRAS.546ag023B
      73	VDESJ2325-5229          	23 25 41.1865	-52 29 14.816	 4.38000e+01	 4.500	            	     	            	     	     	     	            	     	            	     	2020Millon_b     	2020A&A...642A.193M

