split,case_id,regime,mode,tooth,tooth_position,geometry_onset_tick,lock_onset_tick,unlock_onset_tick
holdout,0,memory-only,forward,1,0.0375,118.0,650.0,
holdout,0,memory-only,forward,2,0.0625,128.0,,
holdout,0,memory-only,forward,3,0.0875,176.0,145.0,
holdout,0,memory-only,forward,4,0.1125,194.0,556.0,
holdout,0,memory-only,forward,5,0.1375,206.0,,
holdout,0,memory-only,forward,6,0.1625,230.0,,
holdout,0,memory-only,forward,7,0.1875,242.0,506.0,
holdout,0,memory-only,forward,8,0.2125,254.0,,
holdout,0,memory-only,forward,9,0.2375,288.0,,
holdout,0,memory-only,forward,10,0.2625,293.0,,
holdout,0,memory-only,forward,11,0.2875,302.0,473.0,
holdout,0,memory-only,forward,12,0.3125,337.0,,
holdout,0,memory-only,forward,13,0.3375,347.0,461.0,
holdout,0,memory-only,forward,14,0.3625,379.0,,
holdout,0,memory-only,forward,15,0.3875,383.0,307.0,
holdout,0,memory-only,forward,16,0.4125,425.0,410.0,
holdout,0,memory-only,forward,17,0.4375,434.0,465.0,
holdout,0,memory-only,forward,18,0.4625,445.0,580.0,
holdout,0,memory-only,forward,19,0.4875,457.0,,
holdout,0,memory-only,forward,20,0.5125,494.0,67.0,
holdout,0,memory-only,forward,21,0.5375,495.0,,
holdout,0,memory-only,forward,22,0.5625,511.0,323.0,
holdout,0,memory-only,forward,23,0.5875,544.0,410.0,
holdout,0,memory-only,forward,24,0.6125,571.0,471.0,
holdout,0,memory-only,forward,25,0.6375,567.0,529.0,
holdout,0,memory-only,forward,26,0.6625,610.0,130.0,
holdout,0,memory-only,forward,27,0.6875,618.0,256.0,
holdout,0,memory-only,forward,28,0.7125,641.0,102.0,
holdout,0,memory-only,forward,29,0.7375,657.0,40.0,
holdout,0,memory-only,forward,30,0.7625,676.0,,
holdout,0,memory-only,forward,31,0.7875,707.0,,
holdout,0,memory-only,forward,32,0.8125,709.0,576.0,
holdout,0,memory-only,forward,33,0.8375,753.0,,
holdout,0,memory-only,forward,34,0.8625,747.0,139.0,
holdout,0,memory-only,forward,35,0.8875,,233.0,
holdout,0,memory-only,forward,36,0.9125,,518.0,
holdout,0,memory-only,forward,37,0.9375,,436.0,
holdout,0,memory-only,forward,38,0.9625,,665.0,
holdout,0,memory-only,forward,39,0.9875,,69.0,
holdout,0,late-snap,forward,0,0.0125,118.0,629.0,
holdout,0,late-snap,forward,1,0.0375,118.0,650.0,
holdout,0,late-snap,forward,2,0.0625,128.0,759.0,
holdout,0,late-snap,forward,3,0.0875,176.0,145.0,
holdout,0,late-snap,forward,4,0.1125,194.0,556.0,
holdout,0,late-snap,forward,5,0.1375,206.0,742.0,
holdout,0,late-snap,forward,6,0.1625,230.0,747.0,
holdout,0,late-snap,forward,7,0.1875,242.0,506.0,
holdout,0,late-snap,forward,8,0.2125,254.0,,
holdout,0,late-snap,forward,9,0.2375,288.0,746.0,
holdout,0,late-snap,forward,10,0.2625,293.0,765.0,
holdout,0,late-snap,forward,11,0.2875,302.0,473.0,
holdout,0,late-snap,forward,12,0.3125,337.0,751.0,
holdout,0,late-snap,forward,13,0.3375,347.0,461.0,
holdout,0,late-snap,forward,14,0.3625,379.0,757.0,
holdout,0,late-snap,forward,15,0.3875,383.0,307.0,
holdout,0,late-snap,forward,16,0.4125,425.0,410.0,
holdout,0,late-snap,forward,17,0.4375,434.0,465.0,
holdout,0,late-snap,forward,18,0.4625,445.0,580.0,
holdout,0,late-snap,forward,19,0.4875,457.0,758.0,
holdout,0,late-snap,forward,20,0.5125,494.0,67.0,
holdout,0,late-snap,forward,21,0.5375,495.0,739.0,
holdout,0,late-snap,forward,22,0.5625,511.0,323.0,
holdout,0,late-snap,forward,23,0.5875,544.0,410.0,
holdout,0,late-snap,forward,24,0.6125,571.0,471.0,
holdout,0,late-snap,forward,25,0.6375,567.0,529.0,
holdout,0,late-snap,forward,26,0.6625,610.0,130.0,
holdout,0,late-snap,forward,27,0.6875,618.0,256.0,
holdout,0,late-snap,forward,28,0.7125,641.0,102.0,
holdout,0,late-snap,forward,29,0.7375,657.0,40.0,
holdout,0,late-snap,forward,30,0.7625,676.0,,
holdout,0,late-snap,forward,31,0.7875,707.0,751.0,
holdout,0,late-snap,forward,32,0.8125,709.0,576.0,
holdout,0,late-snap,forward,33,0.8375,753.0,738.0,
holdout,0,late-snap,forward,34,0.8625,747.0,139.0,
holdout,0,late-snap,forward,35,0.8875,,233.0,
holdout,0,late-snap,forward,36,0.9125,,518.0,
holdout,0,late-snap,forward,37,0.9375,,436.0,
holdout,0,late-snap,forward,38,0.9625,,665.0,
holdout,0,late-snap,forward,39,0.9875,,69.0,
holdout,0,false-seam,forward,0,0.0125,118.0,,
holdout,0,false-seam,forward,1,0.0375,118.0,240.0,
holdout,0,false-seam,forward,2,0.0625,128.0,,
holdout,0,false-seam,forward,3,0.0875,176.0,145.0,
holdout,0,false-seam,forward,4,0.1125,194.0,,
holdout,0,false-seam,forward,5,0.1375,206.0,404.0,
holdout,0,false-seam,forward,6,0.1625,230.0,506.0,
holdout,0,false-seam,forward,7,0.1875,242.0,,
holdout,0,false-seam,forward,8,0.2125,254.0,657.0,
holdout,0,false-seam,forward,9,0.2375,288.0,,
holdout,0,false-seam,forward,10,0.2625,293.0,641.0,
holdout,0,false-seam,forward,11,0.2875,302.0,498.0,
holdout,0,false-seam,forward,12,0.3125,337.0,,
holdout,0,false-seam,forward,13,0.3375,347.0,,
holdout,0,false-seam,forward,14,0.3625,379.0,348.0,
holdout,0,false-seam,forward,15,0.3875,383.0,307.0,
holdout,0,false-seam,forward,16,0.4125,425.0,412.0,
holdout,0,false-seam,forward,17,0.4375,434.0,,
holdout,0,false-seam,forward,18,0.4625,445.0,546.0,
holdout,0,false-seam,forward,19,0.4875,457.0,,
holdout,0,false-seam,forward,20,0.5125,494.0,67.0,
holdout,0,false-seam,forward,21,0.5375,495.0,,
holdout,0,false-seam,forward,22,0.5625,511.0,323.0,
holdout,0,false-seam,forward,23,0.5875,544.0,410.0,
holdout,0,false-seam,forward,24,0.6125,571.0,471.0,
holdout,0,false-seam,forward,25,0.6375,567.0,529.0,
holdout,0,false-seam,forward,26,0.6625,610.0,130.0,
holdout,0,false-seam,forward,27,0.6875,618.0,256.0,
holdout,0,false-seam,forward,28,0.7125,641.0,102.0,
holdout,0,false-seam,forward,29,0.7375,657.0,40.0,
holdout,0,false-seam,forward,30,0.7625,676.0,,
holdout,0,false-seam,forward,31,0.7875,707.0,,
holdout,0,false-seam,forward,32,0.8125,709.0,576.0,
holdout,0,false-seam,forward,33,0.8375,753.0,,
holdout,0,false-seam,forward,34,0.8625,747.0,139.0,
holdout,0,false-seam,forward,35,0.8875,,233.0,
holdout,0,false-seam,forward,36,0.9125,,518.0,
holdout,0,false-seam,forward,37,0.9375,,436.0,
holdout,0,false-seam,forward,38,0.9625,,665.0,
holdout,0,false-seam,forward,39,0.9875,,69.0,
holdout,0,progressive,pause,0,0.0125,70.0,60.0,
holdout,0,progressive,pause,1,0.0375,78.0,91.0,
holdout,0,progressive,pause,2,0.0625,105.0,100.0,
holdout,0,progressive,pause,3,0.0875,123.0,112.0,
holdout,0,progressive,pause,4,0.1125,122.0,87.0,
holdout,0,progressive,pause,5,0.1375,133.0,147.0,
holdout,0,progressive,pause,6,0.1625,154.0,176.0,
holdout,0,progressive,pause,7,0.1875,176.0,176.0,
holdout,0,progressive,pause,8,0.2125,188.0,186.0,
holdout,0,progressive,pause,9,0.2375,197.0,167.0,
holdout,0,progressive,pause,10,0.2625,214.0,128.0,
holdout,0,progressive,pause,11,0.2875,223.0,114.0,
holdout,0,progressive,pause,12,0.3125,245.0,248.0,
holdout,0,progressive,pause,13,0.3375,253.0,83.0,
holdout,0,progressive,pause,14,0.3625,501.0,273.0,
holdout,0,progressive,pause,15,0.3875,307.0,173.0,
holdout,0,progressive,pause,16,0.4125,522.0,298.0,
holdout,0,progressive,pause,17,0.4375,536.0,374.0,
holdout,0,progressive,pause,18,0.4625,547.0,112.0,
holdout,0,progressive,pause,19,0.4875,554.0,439.0,
holdout,0,progressive,pause,20,0.5125,579.0,161.0,
holdout,0,progressive,pause,21,0.5375,596.0,146.0,
holdout,0,progressive,pause,22,0.5625,599.0,292.0,
holdout,0,progressive,pause,23,0.5875,613.0,226.0,
holdout,0,progressive,pause,24,0.6125,637.0,345.0,
holdout,0,progressive,pause,25,0.6375,638.0,181.0,
holdout,0,progressive,pause,26,0.6625,643.0,644.0,
holdout,0,progressive,pause,27,0.6875,660.0,197.0,
holdout,0,progressive,pause,28,0.7125,687.0,163.0,
holdout,0,progressive,pause,29,0.7375,688.0,263.0,
holdout,0,progressive,pause,30,0.7625,702.0,229.0,
holdout,0,progressive,pause,31,0.7875,718.0,679.0,
holdout,0,progressive,pause,32,0.8125,735.0,506.0,
holdout,0,progressive,pause,33,0.8375,751.0,63.0,
holdout,0,progressive,pause,34,0.8625,758.0,656.0,
holdout,0,progressive,pause,35,0.8875,763.0,,
holdout,0,progressive,pause,36,0.9125,,405.0,
holdout,0,progressive,pause,37,0.9375,,,
holdout,0,progressive,pause,38,0.9625,,187.0,
holdout,0,progressive,pause,39,0.9875,,728.0,
holdout,0,progressive,reverse,0,0.0125,66.0,71.0,
holdout,0,progressive,reverse,1,0.0375,71.0,51.0,
holdout,0,progressive,reverse,2,0.0625,81.0,85.0,757.0
holdout,0,progressive,reverse,3,0.0875,105.0,96.0,763.0
holdout,0,progressive,reverse,4,0.1125,117.0,147.0,721.0
holdout,0,progressive,reverse,5,0.1375,121.0,136.0,737.0
holdout,0,progressive,reverse,6,0.1625,130.0,118.0,722.0
holdout,0,progressive,reverse,7,0.1875,140.0,144.0,723.0
holdout,0,progressive,reverse,8,0.2125,152.0,154.0,707.0
holdout,0,progressive,reverse,9,0.2375,176.0,147.0,696.0
holdout,0,progressive,reverse,10,0.2625,191.0,211.0,689.0
holdout,0,progressive,reverse,11,0.2875,189.0,60.0,676.0
holdout,0,progressive,reverse,12,0.3125,210.0,124.0,687.0
holdout,0,progressive,reverse,13,0.3375,227.0,231.0,679.0
holdout,0,progressive,reverse,14,0.3625,238.0,247.0,651.0
holdout,0,progressive,reverse,15,0.3875,250.0,253.0,645.0
holdout,0,progressive,reverse,16,0.4125,259.0,77.0,634.0
holdout,0,progressive,reverse,17,0.4375,269.0,278.0,648.0
holdout,0,progressive,reverse,18,0.4625,278.0,264.0,615.0
holdout,0,progressive,reverse,19,0.4875,292.0,299.0,625.0
holdout,0,progressive,reverse,20,0.5125,303.0,225.0,614.0
holdout,0,progressive,reverse,21,0.5375,319.0,275.0,607.0
holdout,0,progressive,reverse,22,0.5625,332.0,345.0,605.0
holdout,0,progressive,reverse,23,0.5875,340.0,122.0,625.0
holdout,0,progressive,reverse,24,0.6125,359.0,383.0,617.0
holdout,0,progressive,reverse,25,0.6375,354.0,370.0,576.0
holdout,0,progressive,reverse,26,0.6625,382.0,272.0,564.0
holdout,0,progressive,reverse,27,0.6875,388.0,390.0,570.0
holdout,0,progressive,reverse,28,0.7125,405.0,187.0,559.0
holdout,0,progressive,reverse,29,0.7375,416.0,103.0,549.0
holdout,0,progressive,reverse,30,0.7625,417.0,401.0,562.0
holdout,0,progressive,reverse,31,0.7875,424.0,426.0,531.0
holdout,0,progressive,reverse,32,0.8125,448.0,462.0,537.0
holdout,0,progressive,reverse,33,0.8375,459.0,471.0,526.0
holdout,0,progressive,reverse,34,0.8625,465.0,374.0,538.0
holdout,0,progressive,reverse,35,0.8875,474.0,67.0,500.0
holdout,0,progressive,reverse,36,0.9125,,,500.0
holdout,0,progressive,reverse,37,0.9375,,,500.0
holdout,0,progressive,reverse,38,0.9625,,,500.0
holdout,0,progressive,reverse,39,0.9875,,,508.0
