identity,family,stratum,condition,window,window_id,sample,cycle,landmark,phase,ara_phase
single:free,single,free,shuffled,0,single:free:w000,15,1,7,0.875,1.75
single:free,single,free,shuffled,0,single:free:w000,16,2,0,0.75,1.5
single:free,single,free,shuffled,0,single:free:w000,17,2,1,0.375,0.75
single:free,single,free,shuffled,0,single:free:w000,18,2,2,0.0,0.0
single:free,single,free,shuffled,0,single:free:w000,19,2,3,0.875,1.75
single:free,single,free,shuffled,0,single:free:w000,20,2,4,0.5,1.0
single:free,single,free,shuffled,0,single:free:w000,21,2,5,0.25,0.5
single:free,single,free,shuffled,0,single:free:w000,22,2,6,0.25,0.5
single:free,single,free,shuffled,0,single:free:w000,23,2,7,0.0,0.0
single:free,single,free,shuffled,0,single:free:w000,24,3,0,0.375,0.75
single:free,single,free,shuffled,0,single:free:w000,25,3,1,0.875,1.75
single:free,single,free,shuffled,0,single:free:w000,26,3,2,0.5,1.0
single:free,single,free,shuffled,0,single:free:w000,27,3,3,0.5,1.0
single:free,single,free,shuffled,0,single:free:w000,28,3,4,0.625,1.25
single:free,single,free,shuffled,0,single:free:w000,29,3,5,0.625,1.25
single:free,single,free,shuffled,0,single:free:w000,30,3,6,0.875,1.75
single:free,single,free,shuffled,0,single:free:w000,31,3,7,0.25,0.5
single:free,single,free,reversed,0,single:free:w000,0,0,0,0.875,1.75
single:free,single,free,reversed,0,single:free:w000,1,0,1,0.75,1.5
single:free,single,free,reversed,0,single:free:w000,2,0,2,0.625,1.25
single:free,single,free,reversed,0,single:free:w000,3,0,3,0.5,1.0
single:free,single,free,reversed,0,single:free:w000,4,0,4,0.375,0.75
single:free,single,free,reversed,0,single:free:w000,5,0,5,0.25,0.5
single:free,single,free,reversed,0,single:free:w000,6,0,6,0.125,0.25
single:free,single,free,reversed,0,single:free:w000,7,0,7,0.0,0.0
single:free,single,free,reversed,0,single:free:w000,8,1,0,0.875,1.75
single:free,single,free,reversed,0,single:free:w000,9,1,1,0.75,1.5
single:free,single,free,reversed,0,single:free:w000,10,1,2,0.625,1.25
single:free,single,free,reversed,0,single:free:w000,11,1,3,0.5,1.0
single:free,single,free,reversed,0,single:free:w000,12,1,4,0.375,0.75
single:free,single,free,reversed,0,single:free:w000,13,1,5,0.25,0.5
single:free,single,free,reversed,0,single:free:w000,14,1,6,0.125,0.25
single:free,single,free,reversed,0,single:free:w000,15,1,7,0.0,0.0
single:free,single,free,reversed,0,single:free:w000,16,2,0,0.875,1.75
single:free,single,free,reversed,0,single:free:w000,17,2,1,0.75,1.5
single:free,single,free,reversed,0,single:free:w000,18,2,2,0.625,1.25
single:free,single,free,reversed,0,single:free:w000,19,2,3,0.5,1.0
single:free,single,free,reversed,0,single:free:w000,20,2,4,0.375,0.75
single:free,single,free,reversed,0,single:free:w000,21,2,5,0.25,0.5
single:free,single,free,reversed,0,single:free:w000,22,2,6,0.125,0.25
single:free,single,free,reversed,0,single:free:w000,23,2,7,0.0,0.0
single:free,single,free,reversed,0,single:free:w000,24,3,0,0.875,1.75
single:free,single,free,reversed,0,single:free:w000,25,3,1,0.75,1.5
single:free,single,free,reversed,0,single:free:w000,26,3,2,0.625,1.25
single:free,single,free,reversed,0,single:free:w000,27,3,3,0.5,1.0
single:free,single,free,reversed,0,single:free:w000,28,3,4,0.375,0.75
single:free,single,free,reversed,0,single:free:w000,29,3,5,0.25,0.5
single:free,single,free,reversed,0,single:free:w000,30,3,6,0.125,0.25
single:free,single,free,reversed,0,single:free:w000,31,3,7,0.0,0.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,0,0,0,0.0,0.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,1,0,1,0.125,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,2,0,2,0.25,0.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,3,0,3,0.375,0.75
single:driven1,single,driven1,chronological,0,single:driven1:w000,4,0,4,0.5,1.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,5,0,5,0.625,1.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,6,0,6,0.75,1.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,7,0,7,0.875,1.75
single:driven1,single,driven1,chronological,0,single:driven1:w000,8,1,0,0.0,0.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,9,1,1,0.125,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,10,1,2,0.25,0.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,11,1,3,0.375,0.75
single:driven1,single,driven1,chronological,0,single:driven1:w000,12,1,4,0.5,1.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,13,1,5,0.625,1.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,14,1,6,0.75,1.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,15,1,7,0.875,1.75
single:driven1,single,driven1,chronological,0,single:driven1:w000,16,2,0,0.0,0.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,17,2,1,0.125,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,18,2,2,0.25,0.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,19,2,3,0.375,0.75
single:driven1,single,driven1,chronological,0,single:driven1:w000,20,2,4,0.5,1.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,21,2,5,0.625,1.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,22,2,6,0.75,1.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,23,2,7,0.875,1.75
single:driven1,single,driven1,chronological,0,single:driven1:w000,24,3,0,0.0,0.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,25,3,1,0.125,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,26,3,2,0.25,0.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,27,3,3,0.375,0.75
single:driven1,single,driven1,chronological,0,single:driven1:w000,28,3,4,0.5,1.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,29,3,5,0.625,1.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,30,3,6,0.75,1.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,31,3,7,0.875,1.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,0,0,0,0.0,0.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,1,0,1,0.125,0.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,2,0,2,0.375,0.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,3,0,3,0.625,1.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,4,0,4,0.625,1.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,5,0,5,0.0,0.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,6,0,6,0.75,1.5
single:driven1,single,driven1,shuffled,0,single:driven1:w000,7,0,7,0.125,0.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,8,1,0,0.0,0.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,9,1,1,0.5,1.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,10,1,2,0.5,1.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,11,1,3,0.875,1.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,12,1,4,0.5,1.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,13,1,5,0.125,0.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,14,1,6,0.625,1.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,15,1,7,0.75,1.5
single:driven1,single,driven1,shuffled,0,single:driven1:w000,16,2,0,0.375,0.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,17,2,1,0.375,0.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,18,2,2,0.625,1.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,19,2,3,0.25,0.5
single:driven1,single,driven1,shuffled,0,single:driven1:w000,20,2,4,0.5,1.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,21,2,5,0.875,1.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,22,2,6,0.875,1.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,23,2,7,0.75,1.5
single:driven1,single,driven1,shuffled,0,single:driven1:w000,24,3,0,0.375,0.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,25,3,1,0.875,1.75
single:driven1,single,driven1,shuffled,0,single:driven1:w000,26,3,2,0.75,1.5
single:driven1,single,driven1,shuffled,0,single:driven1:w000,27,3,3,0.25,0.5
single:driven1,single,driven1,shuffled,0,single:driven1:w000,28,3,4,0.125,0.25
single:driven1,single,driven1,shuffled,0,single:driven1:w000,29,3,5,0.0,0.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,30,3,6,0.25,0.5
single:driven1,single,driven1,shuffled,0,single:driven1:w000,31,3,7,0.25,0.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,0,0,0,0.875,1.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,1,0,1,0.75,1.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,2,0,2,0.625,1.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,3,0,3,0.5,1.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,4,0,4,0.375,0.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,5,0,5,0.25,0.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,6,0,6,0.125,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,7,0,7,0.0,0.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,8,1,0,0.875,1.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,9,1,1,0.75,1.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,10,1,2,0.625,1.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,11,1,3,0.5,1.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,12,1,4,0.375,0.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,13,1,5,0.25,0.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,14,1,6,0.125,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,15,1,7,0.0,0.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,16,2,0,0.875,1.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,17,2,1,0.75,1.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,18,2,2,0.625,1.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,19,2,3,0.5,1.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,20,2,4,0.375,0.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,21,2,5,0.25,0.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,22,2,6,0.125,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,23,2,7,0.0,0.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,24,3,0,0.875,1.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,25,3,1,0.75,1.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,26,3,2,0.625,1.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,27,3,3,0.5,1.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,28,3,4,0.375,0.75
single:driven1,single,driven1,reversed,0,single:driven1:w000,29,3,5,0.25,0.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,30,3,6,0.125,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,31,3,7,0.0,0.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,0,0,0,0.0,0.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,1,0,1,0.125,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,2,0,2,0.25,0.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,3,0,3,0.375,0.75
single:driven1,single,driven1,chronological,1,single:driven1:w001,4,0,4,0.5,1.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,5,0,5,0.625,1.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,6,0,6,0.75,1.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,7,0,7,0.875,1.75
single:driven1,single,driven1,chronological,1,single:driven1:w001,8,1,0,0.0,0.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,9,1,1,0.125,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,10,1,2,0.25,0.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,11,1,3,0.375,0.75
single:driven1,single,driven1,chronological,1,single:driven1:w001,12,1,4,0.5,1.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,13,1,5,0.625,1.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,14,1,6,0.75,1.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,15,1,7,0.875,1.75
single:driven1,single,driven1,chronological,1,single:driven1:w001,16,2,0,0.0,0.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,17,2,1,0.125,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,18,2,2,0.25,0.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,19,2,3,0.375,0.75
single:driven1,single,driven1,chronological,1,single:driven1:w001,20,2,4,0.5,1.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,21,2,5,0.625,1.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,22,2,6,0.75,1.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,23,2,7,0.875,1.75
single:driven1,single,driven1,chronological,1,single:driven1:w001,24,3,0,0.0,0.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,25,3,1,0.125,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,26,3,2,0.25,0.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,27,3,3,0.375,0.75
single:driven1,single,driven1,chronological,1,single:driven1:w001,28,3,4,0.5,1.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,29,3,5,0.625,1.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,30,3,6,0.75,1.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,31,3,7,0.875,1.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,0,0,0,0.25,0.5
single:driven1,single,driven1,shuffled,1,single:driven1:w001,1,0,1,0.0,0.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,2,0,2,0.25,0.5
single:driven1,single,driven1,shuffled,1,single:driven1:w001,3,0,3,0.875,1.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,4,0,4,0.375,0.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,5,0,5,0.375,0.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,6,0,6,0.5,1.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,7,0,7,0.125,0.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,8,1,0,0.625,1.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,9,1,1,0.75,1.5
single:driven1,single,driven1,shuffled,1,single:driven1:w001,10,1,2,0.125,0.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,11,1,3,0.875,1.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,12,1,4,0.5,1.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,13,1,5,0.125,0.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,14,1,6,0.375,0.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,15,1,7,0.625,1.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,16,2,0,0.625,1.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,17,2,1,0.75,1.5
single:driven1,single,driven1,shuffled,1,single:driven1:w001,18,2,2,0.5,1.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,19,2,3,0.125,0.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,20,2,4,0.75,1.5
single:driven1,single,driven1,shuffled,1,single:driven1:w001,21,2,5,0.375,0.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,22,2,6,0.75,1.5
single:driven1,single,driven1,shuffled,1,single:driven1:w001,23,2,7,0.875,1.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,24,3,0,0.625,1.25
single:driven1,single,driven1,shuffled,1,single:driven1:w001,25,3,1,0.5,1.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,26,3,2,0.0,0.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,27,3,3,0.875,1.75
single:driven1,single,driven1,shuffled,1,single:driven1:w001,28,3,4,0.0,0.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,29,3,5,0.0,0.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,30,3,6,0.25,0.5
single:driven1,single,driven1,shuffled,1,single:driven1:w001,31,3,7,0.25,0.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,0,0,0,0.875,1.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,1,0,1,0.75,1.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,2,0,2,0.625,1.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,3,0,3,0.5,1.0
single:driven1,single,driven1,reversed,1,single:driven1:w001,4,0,4,0.375,0.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,5,0,5,0.25,0.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,6,0,6,0.125,0.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,7,0,7,0.0,0.0
single:driven1,single,driven1,reversed,1,single:driven1:w001,8,1,0,0.875,1.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,9,1,1,0.75,1.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,10,1,2,0.625,1.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,11,1,3,0.5,1.0
single:driven1,single,driven1,reversed,1,single:driven1:w001,12,1,4,0.375,0.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,13,1,5,0.25,0.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,14,1,6,0.125,0.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,15,1,7,0.0,0.0
single:driven1,single,driven1,reversed,1,single:driven1:w001,16,2,0,0.875,1.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,17,2,1,0.75,1.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,18,2,2,0.625,1.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,19,2,3,0.5,1.0
single:driven1,single,driven1,reversed,1,single:driven1:w001,20,2,4,0.375,0.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,21,2,5,0.25,0.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,22,2,6,0.125,0.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,23,2,7,0.0,0.0
single:driven1,single,driven1,reversed,1,single:driven1:w001,24,3,0,0.875,1.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,25,3,1,0.75,1.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,26,3,2,0.625,1.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,27,3,3,0.5,1.0
single:driven1,single,driven1,reversed,1,single:driven1:w001,28,3,4,0.375,0.75
single:driven1,single,driven1,reversed,1,single:driven1:w001,29,3,5,0.25,0.5
single:driven1,single,driven1,reversed,1,single:driven1:w001,30,3,6,0.125,0.25
single:driven1,single,driven1,reversed,1,single:driven1:w001,31,3,7,0.0,0.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,0,0,0,0.0,0.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,1,0,1,0.125,0.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,2,0,2,0.25,0.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,3,0,3,0.375,0.75
single:driven1,single,driven1,chronological,2,single:driven1:w002,4,0,4,0.5,1.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,5,0,5,0.625,1.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,6,0,6,0.75,1.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,7,0,7,0.875,1.75
single:driven1,single,driven1,chronological,2,single:driven1:w002,8,1,0,0.0,0.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,9,1,1,0.125,0.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,10,1,2,0.25,0.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,11,1,3,0.375,0.75
single:driven1,single,driven1,chronological,2,single:driven1:w002,12,1,4,0.5,1.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,13,1,5,0.625,1.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,14,1,6,0.75,1.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,15,1,7,0.875,1.75
single:driven1,single,driven1,chronological,2,single:driven1:w002,16,2,0,0.0,0.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,17,2,1,0.125,0.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,18,2,2,0.25,0.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,19,2,3,0.375,0.75
single:driven1,single,driven1,chronological,2,single:driven1:w002,20,2,4,0.5,1.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,21,2,5,0.625,1.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,22,2,6,0.75,1.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,23,2,7,0.875,1.75
single:driven1,single,driven1,chronological,2,single:driven1:w002,24,3,0,0.0,0.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,25,3,1,0.125,0.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,26,3,2,0.25,0.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,27,3,3,0.375,0.75
single:driven1,single,driven1,chronological,2,single:driven1:w002,28,3,4,0.5,1.0
single:driven1,single,driven1,chronological,2,single:driven1:w002,29,3,5,0.625,1.25
single:driven1,single,driven1,chronological,2,single:driven1:w002,30,3,6,0.75,1.5
single:driven1,single,driven1,chronological,2,single:driven1:w002,31,3,7,0.875,1.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,0,0,0,0.0,0.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,1,0,1,0.125,0.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,2,0,2,0.25,0.5
single:driven1,single,driven1,shuffled,2,single:driven1:w002,3,0,3,0.125,0.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,4,0,4,0.125,0.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,5,0,5,0.375,0.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,6,0,6,0.0,0.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,7,0,7,0.625,1.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,8,1,0,0.125,0.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,9,1,1,0.375,0.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,10,1,2,0.75,1.5
single:driven1,single,driven1,shuffled,2,single:driven1:w002,11,1,3,0.75,1.5
single:driven1,single,driven1,shuffled,2,single:driven1:w002,12,1,4,0.0,0.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,13,1,5,0.625,1.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,14,1,6,0.5,1.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,15,1,7,0.5,1.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,16,2,0,0.875,1.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,17,2,1,0.75,1.5
single:driven1,single,driven1,shuffled,2,single:driven1:w002,18,2,2,0.875,1.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,19,2,3,0.0,0.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,20,2,4,0.875,1.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,21,2,5,0.5,1.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,22,2,6,0.5,1.0
single:driven1,single,driven1,shuffled,2,single:driven1:w002,23,2,7,0.25,0.5
single:driven1,single,driven1,shuffled,2,single:driven1:w002,24,3,0,0.75,1.5
single:driven1,single,driven1,shuffled,2,single:driven1:w002,25,3,1,0.375,0.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,26,3,2,0.375,0.75
single:driven1,single,driven1,shuffled,2,single:driven1:w002,27,3,3,0.625,1.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,28,3,4,0.625,1.25
single:driven1,single,driven1,shuffled,2,single:driven1:w002,29,3,5,0.875,1.75
