domain,split,lineage,raw_states,candidate_q,amplitude_floor,valid_q,boundary_q,full_contracting_reverse,full_expanding_reverse,full_expanding_forward,full_contracting_forward
pendulum,evaluation,run3_arm1,180000,179999,0.2126936789645217,169090,4375,72754,67846,11724,12391
pendulum,holdout,run3_arm1,180001,180000,0.2126936789645217,170406,4809,75504,73876,8065,8152
pendulum,calibration,run3_arm2,240000,239999,0.37073285754669716,227848,269,76985,76290,37114,37190
pendulum,evaluation,run3_arm2,180000,179999,0.37073285754669716,166461,34,67766,66592,16221,15848
pendulum,holdout,run3_arm2,180001,180000,0.37073285754669716,138633,271,59868,60591,8740,9163
pendulum,calibration,run3_arm3,240000,239999,0.13700722188775905,227712,0,64836,64599,48630,49647
pendulum,evaluation,run3_arm3,180000,179999,0.13700722188775905,162134,1,51445,48576,30824,31288
pendulum,holdout,run3_arm3,180001,180000,0.13700722188775905,164066,8,56954,58497,23598,25009
hydraulic,calibration,cycle_0000,2400,2399,0.08544707068402446,2246,80,697,305,840,324
hydraulic,evaluation,cycle_0000,1800,1799,0.08544707068402446,1595,9,258,538,252,538
hydraulic,holdout,cycle_0000,1800,1799,0.08544707068402446,1457,12,439,286,461,259
hydraulic,calibration,cycle_0001,2400,2399,0.08476452070435132,2234,106,684,333,781,330
hydraulic,evaluation,cycle_0001,1800,1799,0.08476452070435132,1580,4,266,521,252,537
hydraulic,holdout,cycle_0001,1800,1799,0.08476452070435132,1599,12,478,310,491,308
hydraulic,calibration,cycle_0002,2400,2399,0.08501066873572684,2244,96,734,280,826,308
hydraulic,evaluation,cycle_0002,1800,1799,0.08501066873572684,1460,13,233,483,234,497
hydraulic,holdout,cycle_0002,1800,1799,0.08501066873572684,1526,13,446,301,479,287
hydraulic,calibration,cycle_0003,2400,2399,0.08495180756873354,2236,101,715,281,842,297
hydraulic,evaluation,cycle_0003,1800,1799,0.08495180756873354,1487,8,237,500,241,501
hydraulic,holdout,cycle_0003,1800,1799,0.08495180756873354,1566,10,440,315,483,318
hydraulic,calibration,cycle_0004,2400,2399,0.08485551923443492,2241,87,738,257,854,305
hydraulic,evaluation,cycle_0004,1800,1799,0.08485551923443492,1374,3,197,483,205,486
hydraulic,holdout,cycle_0004,1800,1799,0.08485551923443492,1499,6,409,322,450,312
hydraulic,calibration,cycle_0005,2400,2399,0.08462588754274297,2244,96,714,283,838,313
hydraulic,evaluation,cycle_0005,1800,1799,0.08462588754274297,1338,4,212,459,203,460
hydraulic,holdout,cycle_0005,1800,1799,0.08462588754274297,1346,4,427,244,423,248
hydraulic,calibration,cycle_0006,2400,2399,0.0859511374214155,2240,90,721,286,829,314
hydraulic,evaluation,cycle_0006,1800,1799,0.0859511374214155,1397,4,241,460,234,458
hydraulic,holdout,cycle_0006,1800,1799,0.0859511374214155,1392,6,410,257,422,297
hydraulic,calibration,cycle_0007,2400,2399,0.08707350667606216,2233,84,728,292,823,306
hydraulic,evaluation,cycle_0007,1800,1799,0.08707350667606216,1435,6,265,459,253,452
hydraulic,holdout,cycle_0007,1800,1799,0.08707350667606216,1470,2,446,263,464,295
hydraulic,calibration,cycle_0008,2400,2399,0.08704235437838508,2218,97,693,287,804,337
hydraulic,evaluation,cycle_0008,1800,1799,0.08704235437838508,1520,4,256,512,251,497
hydraulic,holdout,cycle_0008,1800,1799,0.08704235437838508,1578,7,448,309,469,345
hydraulic,calibration,cycle_0009,2400,2399,0.08728049300968599,2226,78,736,285,799,328
hydraulic,evaluation,cycle_0009,1800,1799,0.08728049300968599,1534,2,279,478,275,500
hydraulic,holdout,cycle_0009,1800,1799,0.08728049300968599,1488,5,480,251,496,256
hydraulic,calibration,cycle_0010,2400,2399,0.08808201399925979,2220,84,701,309,786,340
hydraulic,evaluation,cycle_0010,1800,1799,0.08808201399925979,1400,1,264,423,280,432
hydraulic,holdout,cycle_0010,1800,1799,0.08808201399925979,1386,4,428,235,473,246
hydraulic,calibration,cycle_0011,2400,2399,0.08724007177322302,2221,71,715,275,807,353
hydraulic,evaluation,cycle_0011,1800,1799,0.08724007177322302,1457,0,293,437,289,438
hydraulic,holdout,cycle_0011,1800,1799,0.08724007177322302,1482,3,472,260,462,285
hydraulic,calibration,cycle_0012,2400,2399,0.08512443839893885,2213,74,714,278,822,325
hydraulic,evaluation,cycle_0012,1800,1799,0.08512443839893885,1547,5,354,417,350,421
hydraulic,holdout,cycle_0012,1800,1799,0.08512443839893885,1430,2,424,263,454,287
hydraulic,calibration,cycle_0013,2400,2399,0.08530679562740143,2226,79,717,301,783,346
hydraulic,evaluation,cycle_0013,1800,1799,0.08530679562740143,1410,10,284,412,292,412
hydraulic,holdout,cycle_0013,1800,1799,0.08530679562740143,1431,3,444,259,444,281
hydraulic,calibration,cycle_0014,2400,2399,0.0877012535615253,2225,82,713,277,837,316
hydraulic,evaluation,cycle_0014,1800,1799,0.0877012535615253,1477,6,283,451,288,449
hydraulic,holdout,cycle_0014,1800,1799,0.0877012535615253,1455,1,486,248,465,255
hydraulic,calibration,cycle_0015,2400,2399,0.0873335346391984,2219,79,729,284,819,308
hydraulic,evaluation,cycle_0015,1800,1799,0.0873335346391984,1544,5,314,462,317,446
hydraulic,holdout,cycle_0015,1800,1799,0.0873335346391984,1443,3,455,271,442,272
hydraulic,calibration,cycle_0016,2400,2399,0.08683838452091268,2230,91,751,269,810,309
hydraulic,evaluation,cycle_0016,1800,1799,0.08683838452091268,1569,2,304,476,330,457
hydraulic,holdout,cycle_0016,1800,1799,0.08683838452091268,1653,2,470,358,488,335
hydraulic,calibration,cycle_0017,2400,2399,0.08547288418724643,2240,76,774,268,843,279
hydraulic,evaluation,cycle_0017,1800,1799,0.08547288418724643,1457,2,289,436,287,443
hydraulic,holdout,cycle_0017,1800,1799,0.08547288418724643,1269,0,376,244,411,238
hydraulic,calibration,cycle_0018,2400,2399,0.08863311802442274,2233,93,729,265,837,309
hydraulic,evaluation,cycle_0018,1800,1799,0.08863311802442274,1433,3,279,439,292,420
hydraulic,holdout,cycle_0018,1800,1799,0.08863311802442274,1232,1,346,248,390,247
hydraulic,calibration,cycle_0019,2400,2399,0.08913570847789268,2238,73,756,256,848,305
hydraulic,evaluation,cycle_0019,1800,1799,0.08913570847789268,1258,3,231,398,244,382
hydraulic,holdout,cycle_0019,1800,1799,0.08913570847789268,1225,1,363,248,385,228
hydraulic,calibration,cycle_0020,2400,2399,0.08465630021919604,2221,95,741,269,812,304
hydraulic,evaluation,cycle_0020,1800,1799,0.08465630021919604,1572,3,354,425,352,438
hydraulic,holdout,cycle_0020,1800,1799,0.08465630021919604,1541,4,483,257,492,305
hydraulic,calibration,cycle_0021,2400,2399,0.08438967850962589,2226,93,773,250,833,277
hydraulic,evaluation,cycle_0021,1800,1799,0.08438967850962589,1482,4,330,433,308,407
hydraulic,holdout,cycle_0021,1800,1799,0.08438967850962589,1568,1,486,308,486,287
hydraulic,calibration,cycle_0022,2400,2399,0.0839713802711916,2223,81,780,245,840,277
hydraulic,evaluation,cycle_0022,1800,1799,0.0839713802711916,1618,6,325,478,323,486
hydraulic,holdout,cycle_0022,1800,1799,0.0839713802711916,1637,2,524,309,509,293
hydraulic,calibration,cycle_0023,2400,2399,0.08294981495989831,2218,84,731,263,822,318
hydraulic,evaluation,cycle_0023,1800,1799,0.08294981495989831,1496,1,323,432,297,443
hydraulic,holdout,cycle_0023,1800,1799,0.08294981495989831,1628,4,476,324,507,317
hydraulic,calibration,cycle_0024,2400,2399,0.08353663788914698,2230,72,780,266,807,305
hydraulic,evaluation,cycle_0024,1800,1799,0.08353663788914698,1441,2,263,447,266,463
hydraulic,holdout,cycle_0024,1800,1799,0.08353663788914698,1346,3,377,285,392,289
hydraulic,calibration,cycle_0025,2400,2399,0.08144525772690506,2232,63,816,216,887,250
hydraulic,evaluation,cycle_0025,1800,1799,0.08144525772690506,1479,3,265,477,258,476
hydraulic,holdout,cycle_0025,1800,1799,0.08144525772690506,1480,7,358,363,391,361
hydraulic,calibration,cycle_0026,2400,2399,0.08197151092976218,2224,74,835,178,913,224
hydraulic,evaluation,cycle_0026,1800,1799,0.08197151092976218,1567,6,265,500,260,536
hydraulic,holdout,cycle_0026,1800,1799,0.08197151092976218,1661,9,475,340,476,361
hydraulic,calibration,cycle_0027,2400,2399,0.08248323741123972,2224,68,813,214,877,252
hydraulic,evaluation,cycle_0027,1800,1799,0.08248323741123972,1571,2,255,514,271,529
hydraulic,holdout,cycle_0027,1800,1799,0.08248323741123972,1611,5,488,298,508,312
hydraulic,calibration,cycle_0028,2400,2399,0.08362689320262479,2228,62,813,224,897,232
hydraulic,evaluation,cycle_0028,1800,1799,0.08362689320262479,1535,4,283,494,267,487
hydraulic,holdout,cycle_0028,1800,1799,0.08362689320262479,1409,3,448,243,466,249
hydraulic,calibration,cycle_0029,2400,2399,0.08716284933994033,2226,69,793,213,878,273
hydraulic,evaluation,cycle_0029,1800,1799,0.08716284933994033,1354,6,224,458,213,453
hydraulic,holdout,cycle_0029,1800,1799,0.08716284933994033,1241,5,417,186,444,189
hydraulic,calibration,cycle_0030,2400,2399,0.08630420434776304,2228,73,766,241,873,275
hydraulic,evaluation,cycle_0030,1800,1799,0.08630420434776304,1602,7,259,510,286,540
hydraulic,holdout,cycle_0030,1800,1799,0.08630420434776304,1541,6,528,241,510,256
hydraulic,calibration,cycle_0031,2400,2399,0.08597870078611378,2220,72,821,204,874,249
hydraulic,evaluation,cycle_0031,1800,1799,0.08597870078611378,1570,14,264,508,268,516
hydraulic,holdout,cycle_0031,1800,1799,0.08597870078611378,1502,9,518,225,499,251
hydraulic,calibration,cycle_0032,2400,2399,0.08629821579778552,2225,95,778,222,862,268
hydraulic,evaluation,cycle_0032,1800,1799,0.08629821579778552,1623,12,249,539,270,553
hydraulic,holdout,cycle_0032,1800,1799,0.08629821579778552,1402,6,495,198,485,218
hydraulic,calibration,cycle_0033,2400,2399,0.08640064309773238,2220,85,805,208,851,271
hydraulic,evaluation,cycle_0033,1800,1799,0.08640064309773238,1536,7,251,513,265,500
hydraulic,holdout,cycle_0033,1800,1799,0.08640064309773238,1400,10,485,208,495,202
hydraulic,calibration,cycle_0034,2400,2399,0.08658973651178824,2211,75,793,220,879,244
hydraulic,evaluation,cycle_0034,1800,1799,0.08658973651178824,1416,3,229,489,202,493
hydraulic,holdout,cycle_0034,1800,1799,0.08658973651178824,1413,4,495,207,481,226
hydraulic,calibration,cycle_0035,2400,2399,0.0861011155088283,2222,94,795,209,872,252
hydraulic,evaluation,cycle_0035,1800,1799,0.0861011155088283,1591,4,263,513,280,531
hydraulic,holdout,cycle_0035,1800,1799,0.0861011155088283,1485,9,528,215,514,219
hydraulic,calibration,cycle_0036,2400,2399,0.08650433242221867,2226,76,808,213,862,267
hydraulic,evaluation,cycle_0036,1800,1799,0.08650433242221867,1481,7,250,500,245,479
hydraulic,holdout,cycle_0036,1800,1799,0.08650433242221867,1190,2,449,144,443,152
hydraulic,calibration,cycle_0037,2400,2399,0.08690593831509281,2215,70,808,211,853,273
hydraulic,evaluation,cycle_0037,1800,1799,0.08690593831509281,1476,7,242,491,249,487
hydraulic,holdout,cycle_0037,1800,1799,0.08690593831509281,1206,0,445,163,432,166
hydraulic,calibration,cycle_0038,2400,2399,0.08649265153880883,2226,75,812,206,896,237
hydraulic,evaluation,cycle_0038,1800,1799,0.08649265153880883,1540,3,267,518,249,503
hydraulic,holdout,cycle_0038,1800,1799,0.08649265153880883,1416,6,509,190,489,222
hydraulic,calibration,cycle_0039,2400,2399,0.08672641859852281,2228,84,808,197,879,260
hydraulic,evaluation,cycle_0039,1800,1799,0.08672641859852281,1465,4,242,479,251,489
hydraulic,holdout,cycle_0039,1800,1799,0.08672641859852281,1236,2,455,174,443,162
hydraulic,calibration,cycle_0040,2400,2399,0.08710376939947721,2230,64,834,191,884,257
hydraulic,evaluation,cycle_0040,1800,1799,0.08710376939947721,1423,3,234,464,235,487
hydraulic,holdout,cycle_0040,1800,1799,0.08710376939947721,1187,5,448,154,432,148
hydraulic,calibration,cycle_0041,2400,2399,0.08563005223216434,2223,68,852,185,878,240
hydraulic,evaluation,cycle_0041,1800,1799,0.08563005223216434,1621,6,282,533,278,522
hydraulic,holdout,cycle_0041,1800,1799,0.08563005223216434,1433,2,500,215,491,225
hydraulic,calibration,cycle_0042,2400,2399,0.08703824164257443,2219,69,829,189,890,242
hydraulic,evaluation,cycle_0042,1800,1799,0.08703824164257443,1642,16,282,529,277,538
hydraulic,holdout,cycle_0042,1800,1799,0.08703824164257443,1477,9,520,223,492,233
hydraulic,calibration,cycle_0043,2400,2399,0.08707567506791122,2215,59,829,199,890,238
hydraulic,evaluation,cycle_0043,1800,1799,0.08707567506791122,1485,5,239,488,247,506
hydraulic,holdout,cycle_0043,1800,1799,0.08707567506791122,1230,6,457,160,429,178
hydraulic,calibration,cycle_0044,2400,2399,0.08798363861570421,2221,64,850,187,891,229
hydraulic,evaluation,cycle_0044,1800,1799,0.08798363861570421,1272,4,203,420,217,428
hydraulic,holdout,cycle_0044,1800,1799,0.08798363861570421,1177,6,468,137,424,142
hydraulic,calibration,cycle_0045,2400,2399,0.08704080894254024,2223,72,836,199,851,265
hydraulic,evaluation,cycle_0045,1800,1799,0.08704080894254024,1575,10,271,511,259,524
hydraulic,holdout,cycle_0045,1800,1799,0.08704080894254024,1407,9,512,193,491,202
hydraulic,calibration,cycle_0046,2400,2399,0.08676676836967884,2218,83,822,216,867,230
hydraulic,evaluation,cycle_0046,1800,1799,0.08676676836967884,1454,3,234,487,234,496
hydraulic,holdout,cycle_0046,1800,1799,0.08676676836967884,1256,3,468,165,469,151
hydraulic,calibration,cycle_0047,2400,2399,0.08651747958516054,2219,62,840,193,898,226
hydraulic,evaluation,cycle_0047,1800,1799,0.08651747958516054,1503,4,261,486,257,495
hydraulic,holdout,cycle_0047,1800,1799,0.08651747958516054,1302,4,499,176,452,171
hydraulic,calibration,cycle_0048,2400,2399,0.08679963880927027,2223,67,808,206,911,231
hydraulic,evaluation,cycle_0048,1800,1799,0.08679963880927027,1567,10,258,519,267,513
hydraulic,holdout,cycle_0048,1800,1799,0.08679963880927027,1610,10,568,224,571,237
hydraulic,calibration,cycle_0049,2400,2399,0.087205320505594,2225,61,843,190,906,225
hydraulic,evaluation,cycle_0049,1800,1799,0.087205320505594,1531,4,242,505,249,531
hydraulic,holdout,cycle_0049,1800,1799,0.087205320505594,1409,4,518,201,501,185
hydraulic,calibration,cycle_0050,2400,2399,0.08736389856390973,2219,68,827,197,896,231
hydraulic,evaluation,cycle_0050,1800,1799,0.08736389856390973,1507,9,249,490,249,510
hydraulic,holdout,cycle_0050,1800,1799,0.08736389856390973,1462,3,549,190,532,188
hydraulic,calibration,cycle_0051,2400,2399,0.08749853504985311,2227,55,860,196,896,220
hydraulic,evaluation,cycle_0051,1800,1799,0.08749853504985311,1389,4,231,469,205,480
hydraulic,holdout,cycle_0051,1800,1799,0.08749853504985311,1216,5,470,162,445,134
hydraulic,calibration,cycle_0052,2400,2399,0.0881228328140044,2216,72,832,185,894,233
hydraulic,evaluation,cycle_0052,1800,1799,0.0881228328140044,1326,3,202,463,200,458
hydraulic,holdout,cycle_0052,1800,1799,0.0881228328140044,1188,5,466,120,450,147
hydraulic,calibration,cycle_0053,2400,2399,0.08810302695985486,2223,70,827,196,914,216
hydraulic,evaluation,cycle_0053,1800,1799,0.08810302695985486,1366,6,216,475,198,471
hydraulic,holdout,cycle_0053,1800,1799,0.08810302695985486,1165,3,481,124,441,116
hydraulic,calibration,cycle_0054,2400,2399,0.08759656610340033,2215,70,817,194,894,240
hydraulic,evaluation,cycle_0054,1800,1799,0.08759656610340033,1388,1,216,464,222,485
hydraulic,holdout,cycle_0054,1800,1799,0.08759656610340033,1351,5,496,170,499,181
hydraulic,calibration,cycle_0055,2400,2399,0.08811562583608935,2220,61,841,196,890,232
hydraulic,evaluation,cycle_0055,1800,1799,0.08811562583608935,1300,5,204,465,179,447
hydraulic,holdout,cycle_0055,1800,1799,0.08811562583608935,1163,6,479,119,456,103
hydraulic,calibration,cycle_0056,2400,2399,0.08785058809976688,2232,66,841,174,895,256
hydraulic,evaluation,cycle_0056,1800,1799,0.08785058809976688,1390,5,212,472,220,481
hydraulic,holdout,cycle_0056,1800,1799,0.08785058809976688,1271,4,500,153,461,153
hydraulic,calibration,cycle_0057,2400,2399,0.08777815272250317,2227,66,845,189,895,232
hydraulic,evaluation,cycle_0057,1800,1799,0.08777815272250317,1347,2,212,453,203,477
hydraulic,holdout,cycle_0057,1800,1799,0.08777815272250317,1206,1,479,136,469,121
hydraulic,calibration,cycle_0058,2400,2399,0.08759273039467687,2219,61,830,199,897,232
hydraulic,evaluation,cycle_0058,1800,1799,0.08759273039467687,1378,6,210,466,226,470
hydraulic,holdout,cycle_0058,1800,1799,0.08759273039467687,1172,3,468,132,437,132
hydraulic,calibration,cycle_0059,2400,2399,0.08819677955636998,2221,47,856,179,914,225
hydraulic,evaluation,cycle_0059,1800,1799,0.08819677955636998,1298,3,201,453,198,443
hydraulic,holdout,cycle_0059,1800,1799,0.08819677955636998,1193,3,489,116,467,118
hydraulic,calibration,cycle_0060,2400,2399,0.08825464833207668,2227,56,860,178,906,227
hydraulic,evaluation,cycle_0060,1800,1799,0.08825464833207668,1275,2,197,451,184,441
hydraulic,holdout,cycle_0060,1800,1799,0.08825464833207668,1210,6,474,130,464,136
hydraulic,calibration,cycle_0061,2400,2399,0.08854159130089059,2221,49,827,197,900,248
hydraulic,evaluation,cycle_0061,1800,1799,0.08854159130089059,1323,4,224,439,202,454
hydraulic,holdout,cycle_0061,1800,1799,0.08854159130089059,1213,6,488,132,468,119
hydraulic,calibration,cycle_0062,2400,2399,0.08796222943742549,2228,64,831,198,894,241
hydraulic,evaluation,cycle_0062,1800,1799,0.08796222943742549,1307,4,205,436,200,462
hydraulic,holdout,cycle_0062,1800,1799,0.08796222943742549,1150,3,469,133,425,120
hydraulic,calibration,cycle_0063,2400,2399,0.08792224982874015,2222,72,819,203,898,230
hydraulic,evaluation,cycle_0063,1800,1799,0.08792224982874015,1256,5,192,417,185,457
hydraulic,holdout,cycle_0063,1800,1799,0.08792224982874015,1159,3,467,124,443,122
hydraulic,calibration,cycle_0064,2400,2399,0.08773610304028527,2223,69,827,208,876,243
hydraulic,evaluation,cycle_0064,1800,1799,0.08773610304028527,1429,8,230,472,229,490
hydraulic,holdout,cycle_0064,1800,1799,0.08773610304028527,1321,3,511,151,501,155
hydraulic,calibration,cycle_0065,2400,2399,0.08829715089981063,2227,61,840,189,898,239
hydraulic,evaluation,cycle_0065,1800,1799,0.08829715089981063,1253,4,176,444,181,448
hydraulic,holdout,cycle_0065,1800,1799,0.08829715089981063,1186,3,484,138,456,105
hydraulic,calibration,cycle_0066,2400,2399,0.08751732468981673,2226,77,803,182,933,231
hydraulic,evaluation,cycle_0066,1800,1799,0.08751732468981673,1459,6,246,479,268,460
hydraulic,holdout,cycle_0066,1800,1799,0.08751732468981673,1431,4,539,179,519,190
hydraulic,calibration,cycle_0067,2400,2399,0.08821177327149805,2214,74,835,189,882,234
hydraulic,evaluation,cycle_0067,1800,1799,0.08821177327149805,1230,3,202,418,205,402
hydraulic,holdout,cycle_0067,1800,1799,0.08821177327149805,1175,0,489,125,445,116
hydraulic,calibration,cycle_0068,2400,2399,0.08783827666733479,2221,69,846,174,918,214
hydraulic,evaluation,cycle_0068,1800,1799,0.08783827666733479,1434,2,235,472,244,481
hydraulic,holdout,cycle_0068,1800,1799,0.08783827666733479,1188,7,489,110,464,118
hydraulic,calibration,cycle_0069,2400,2399,0.08784603224300623,2229,64,838,191,900,236
hydraulic,evaluation,cycle_0069,1800,1799,0.08784603224300623,1481,6,224,499,221,531
hydraulic,holdout,cycle_0069,1800,1799,0.08784603224300623,1246,4,489,152,452,149
hydraulic,calibration,cycle_0070,2400,2399,0.08752464296456111,2231,73,844,193,888,233
hydraulic,evaluation,cycle_0070,1800,1799,0.08752464296456111,1399,9,230,471,224,465
hydraulic,holdout,cycle_0070,1800,1799,0.08752464296456111,1276,5,498,164,477,132
hydraulic,calibration,cycle_0071,2400,2399,0.0879076249932539,2221,43,816,216,897,249
hydraulic,evaluation,cycle_0071,1800,1799,0.0879076249932539,1299,4,214,437,200,444
hydraulic,holdout,cycle_0071,1800,1799,0.0879076249932539,1196,3,485,115,460,133
hydraulic,calibration,cycle_0072,2400,2399,0.08816168135690845,2218,68,837,199,863,251
hydraulic,evaluation,cycle_0072,1800,1799,0.08816168135690845,1313,4,215,448,208,438
hydraulic,holdout,cycle_0072,1800,1799,0.08816168135690845,1141,2,462,104,457,116
hydraulic,calibration,cycle_0073,2400,2399,0.08690750424425656,2229,45,850,187,919,228
hydraulic,evaluation,cycle_0073,1800,1799,0.08690750424425656,1583,9,285,508,265,516
hydraulic,holdout,cycle_0073,1800,1799,0.08690750424425656,1492,5,565,187,537,198
hydraulic,calibration,cycle_0074,2400,2399,0.08765796680719605,2228,64,794,229,888,253
hydraulic,evaluation,cycle_0074,1800,1799,0.08765796680719605,1291,4,217,435,185,450
hydraulic,holdout,cycle_0074,1800,1799,0.08765796680719605,1191,2,497,111,468,113
hydraulic,calibration,cycle_0075,2400,2399,0.0881892626643534,2226,52,838,194,903,239
hydraulic,evaluation,cycle_0075,1800,1799,0.0881892626643534,1268,9,188,445,176,450
hydraulic,holdout,cycle_0075,1800,1799,0.0881892626643534,1192,4,486,108,478,116
hydraulic,calibration,cycle_0076,2400,2399,0.08750667534768226,2217,58,824,222,875,238
hydraulic,evaluation,cycle_0076,1800,1799,0.08750667534768226,1243,4,202,414,189,434
hydraulic,holdout,cycle_0076,1800,1799,0.08750667534768226,1244,6,482,141,477,138
hydraulic,calibration,cycle_0077,2400,2399,0.08780456993663871,2226,70,811,190,890,265
hydraulic,evaluation,cycle_0077,1800,1799,0.08780456993663871,1303,6,203,425,219,450
hydraulic,holdout,cycle_0077,1800,1799,0.08780456993663871,1314,3,508,148,497,158
hydraulic,calibration,cycle_0078,2400,2399,0.0881407460085926,2227,76,805,212,894,240
hydraulic,evaluation,cycle_0078,1800,1799,0.0881407460085926,1287,2,201,444,184,456
hydraulic,holdout,cycle_0078,1800,1799,0.0881407460085926,1178,4,497,107,462,108
hydraulic,calibration,cycle_0079,2400,2399,0.08698627216324051,2225,62,788,217,900,258
hydraulic,evaluation,cycle_0079,1800,1799,0.08698627216324051,1552,8,244,515,274,511
hydraulic,holdout,cycle_0079,1800,1799,0.08698627216324051,1538,7,577,210,540,204
hydraulic,calibration,cycle_0080,2400,2399,0.08791263288893202,2224,71,781,210,888,274
hydraulic,evaluation,cycle_0080,1800,1799,0.08791263288893202,1368,2,229,452,221,464
hydraulic,holdout,cycle_0080,1800,1799,0.08791263288893202,1287,3,516,151,489,128
hydraulic,calibration,cycle_0081,2400,2399,0.08847150277767789,2223,67,813,211,883,249
hydraulic,evaluation,cycle_0081,1800,1799,0.08847150277767789,1313,6,182,456,190,479
hydraulic,holdout,cycle_0081,1800,1799,0.08847150277767789,1342,3,520,151,514,154
hydraulic,calibration,cycle_0082,2400,2399,0.08843839107475411,2223,65,832,207,856,263
hydraulic,evaluation,cycle_0082,1800,1799,0.08843839107475411,1298,3,213,425,189,468
hydraulic,holdout,cycle_0082,1800,1799,0.08843839107475411,1251,3,517,115,482,134
hydraulic,calibration,cycle_0083,2400,2399,0.08835737724639763,2230,65,805,234,887,239
hydraulic,evaluation,cycle_0083,1800,1799,0.08835737724639763,1353,3,229,449,215,457
hydraulic,holdout,cycle_0083,1800,1799,0.08835737724639763,1204,4,485,118,487,110
hydraulic,calibration,cycle_0084,2400,2399,0.08820105979882632,2236,82,800,193,907,254
hydraulic,evaluation,cycle_0084,1800,1799,0.08820105979882632,1432,4,212,480,243,493
hydraulic,holdout,cycle_0084,1800,1799,0.08820105979882632,1446,6,550,156,550,184
hydraulic,calibration,cycle_0085,2400,2399,0.0884398281253324,2226,67,814,201,893,251
hydraulic,evaluation,cycle_0085,1800,1799,0.0884398281253324,1438,10,248,447,263,470
hydraulic,holdout,cycle_0085,1800,1799,0.0884398281253324,1270,4,511,124,489,142
hydraulic,calibration,cycle_0086,2400,2399,0.08838295571118653,2227,75,811,196,899,246
hydraulic,evaluation,cycle_0086,1800,1799,0.08838295571118653,1422,6,216,488,220,492
hydraulic,holdout,cycle_0086,1800,1799,0.08838295571118653,1194,3,500,105,476,110
hydraulic,calibration,cycle_0087,2400,2399,0.08886829158112515,2219,65,795,191,921,247
hydraulic,evaluation,cycle_0087,1800,1799,0.08886829158112515,1251,0,190,431,194,436
hydraulic,holdout,cycle_0087,1800,1799,0.08886829158112515,1205,4,492,111,478,120
hydraulic,calibration,cycle_0088,2400,2399,0.08878888194584003,2213,73,812,200,888,240
hydraulic,evaluation,cycle_0088,1800,1799,0.08878888194584003,1398,6,214,462,234,482
hydraulic,holdout,cycle_0088,1800,1799,0.08878888194584003,1374,6,530,153,520,165
hydraulic,calibration,cycle_0089,2400,2399,0.08844855138079678,2219,66,819,200,890,244
hydraulic,evaluation,cycle_0089,1800,1799,0.08844855138079678,1361,4,206,474,216,461
hydraulic,holdout,cycle_0089,1800,1799,0.08844855138079678,1359,5,524,168,510,152
hydraulic,calibration,cycle_0090,2400,2399,0.08885991591810194,2224,69,823,200,883,249
hydraulic,evaluation,cycle_0090,1800,1799,0.08885991591810194,1344,5,207,466,206,460
hydraulic,holdout,cycle_0090,1800,1799,0.08885991591810194,1287,3,504,143,505,132
hydraulic,calibration,cycle_0091,2400,2399,0.08813385468689301,2221,72,786,222,876,265
hydraulic,evaluation,cycle_0091,1800,1799,0.08813385468689301,1413,1,226,484,233,469
hydraulic,holdout,cycle_0091,1800,1799,0.08813385468689301,1281,3,503,129,514,132
